"merchant","correlation","rank","selected"
"merchant_Surtidora_Departamental_6224",0.157797825450626,283,FALSE
"merchant_The_Padel_Lab_10009",0.157437560491838,284,FALSE
"merchant_Grupo_Did_actico_Serrano_10161",0.156883849686381,285,FALSE
"merchant_Sue_nos_de_Navidad_11094",0.156883849686381,286,FALSE
"merchant_El_Guante_de_Guslutt_6677",0.15685915626092,287,FALSE
"merchant_Karele_415",0.156536591395972,288,FALSE
"merchant_Perfume_Cartel_10927",0.155495976748413,289,FALSE
"merchant_STYLO_5792",0.153805703182765,290,FALSE
"merchant_Vapeando_Ando_4582",0.1530722107677,291,FALSE
"merchant_Juguetibici_Collectors_4738",0.152882120847604,292,FALSE
"merchant_S_uper_Naturista_10072",0.152100945141614,293,FALSE
"merchant_D_Luca_945",0.152026308723658,294,FALSE
"merchant_Maison_Du_Perfume_29912",0.151286332077824,295,FALSE
"merchant_Pop_Shampo_7541",0.151096074824347,296,FALSE
"merchant_K_Swiss_244",0.149820230091569,297,FALSE
"merchant_MILANO_9812",0.149383882826917,298,FALSE
"merchant_Mouty_5774",0.149153098904691,299,FALSE
"merchant_Luces_m_agicas_254",0.148976061325711,300,FALSE
"merchant_Kynetick_8652",0.146616349868473,301,FALSE
"merchant_Toxic_3114",0.146541422326139,302,FALSE
"merchant_Offlander_10297",0.145163346405131,303,FALSE
"merchant_Distribuidora_y_Comercializadora_SL_S_de_RL_de_CV_6836",0.14509613584307,304,FALSE
"merchant_Vitos_9118",0.14465650424058,305,FALSE
"merchant_La_Vasconia_6939",0.14454195641921,306,FALSE
"merchant_Carlos_Shoes_for_Men_10963",0.144192968453944,307,FALSE
"merchant_Maja_4179",0.143917912853813,308,FALSE
"merchant_Tenis_con_Estilo_10160",0.143853438910479,309,FALSE
"merchant_Balam_Denim_Wear_Online_4515",0.143716946133243,310,FALSE
"merchant_Jobi_Mx_7500",0.14340267200182,311,FALSE
"merchant_Dabalash_6452",0.143104532370215,312,FALSE
"merchant_Backstar_8546",0.143013142565822,313,FALSE
"merchant_Casa_Mist_6219",0.141482018532565,314,FALSE
"merchant_Flux_Marcha_10533",0.140890780897071,315,FALSE
"merchant_Platonia_1719",0.140148652808643,316,FALSE
"merchant_Vijoan_Games_11019",0.140091296860713,317,FALSE
"merchant_C_STELNET_29711",0.140091296860712,318,FALSE
"merchant_Rep_ublica_Blanca_6465",0.139252629294613,319,FALSE
"merchant_Virtual_Muebles_10595",0.139232621921787,320,FALSE
"merchant_Bellini_9794",0.139065392499327,321,FALSE
"merchant_Infiniti_Joyas_5436",0.13892273618275,322,FALSE
"merchant_Game_Center_8770",0.138805381795726,323,FALSE
"merchant_Malagna_Cosmetics_4784",0.138202115079474,324,FALSE
"merchant_Arantza_Zapater_ias_On_11130",0.137737847380373,325,FALSE
"merchant_Zapaterias_Lissette_11061",0.137540640622924,326,FALSE
"merchant_Joyer_ia_Orovels_9076",0.137454803600806,327,FALSE
"merchant_Klap_Shoes_Online_10420",0.136952626013062,328,FALSE
"merchant_Flux_Boroni_10357",0.136239363949992,329,FALSE
"merchant_EL_ROCKERITO_11008",0.135971987794326,330,FALSE
"merchant_Entii_7818",0.13575573504245,331,FALSE
"merchant_thebikehood_7726",0.134988826626739,332,FALSE
"merchant_BALAIKA_7794",0.134752876157667,333,FALSE
